product_id,product_name,aisle_id,department_id,aisle,department,full_text,image_url
30,Premium Coffee,171,4,grains rice dried goods,dry goods pasta,Premium Coffee. grains rice dried goods aisle. dry goods pasta department.,https://picsum.photos/seed/prod30_real/300/300
31,Vegan Snack,172,9,grains rice dried goods,dry goods pasta,Vegan Snack. grains rice dried goods aisle. dry goods pasta department.,https://picsum.photos/seed/prod31_real/300/300
32,Cola,129,15,tea,beverages,Cola. tea aisle. beverages department.,https://picsum.photos/seed/prod32_real/300/300
33,Gluten-Free Bread,136,23,grains rice dried goods,dry goods pasta,Gluten-Free Bread. grains rice dried goods aisle. dry goods pasta department.,https://picsum.photos/seed/prod33_real/300/300
34,Almond Milk,118,6,grains rice dried goods,dry goods pasta,Almond Milk. grains rice dried goods aisle. dry goods pasta department.,https://picsum.photos/seed/prod34_real/300/300
35,Organic Juice,139,19,grains rice dried goods,dry goods pasta,Organic Juice. grains rice dried goods aisle. dry goods pasta department.,https://picsum.photos/seed/prod35_real/300/300
36,Trail Mix,180,32,cookies cakes,snacks,Trail Mix. cookies cakes aisle. snacks department.,https://picsum.photos/seed/prod36_real/300/300
37,Toothpaste,138,28,cold flu allergy,personal care,Toothpaste. cold flu allergy aisle. personal care department.,https://picsum.photos/seed/prod37_real/300/300
38,Butter,164,2,yogurt,dairy eggs,Butter. yogurt aisle. dairy eggs department.,https://picsum.photos/seed/prod38_real/300/300
39,Flour,92,30,marinades meat preparation,pantry,Flour. marinades meat preparation aisle. pantry department.,https://picsum.photos/seed/prod39_real/300/300
40,Eggs,153,43,yogurt,dairy eggs,Eggs. yogurt aisle. dairy eggs department.,https://picsum.photos/seed/prod40_real/300/300
41,Olive Oil,193,10,spices seasonings,pantry,Olive Oil. spices seasonings aisle. pantry department.,https://picsum.photos/seed/prod41_real/300/300
42,Pasta,160,26,spices seasonings,pantry,Pasta. spices seasonings aisle. pantry department.,https://picsum.photos/seed/prod42_real/300/300
43,Frozen Fries,174,22,frozen pizza,frozen,Frozen Fries. frozen pizza aisle. frozen department.,https://picsum.photos/seed/prod43_real/300/300
44,Cheddar Cheese,190,50,yogurt,dairy eggs,Cheddar Cheese. yogurt aisle. dairy eggs department.,https://picsum.photos/seed/prod44_real/300/300
45,Sports Drink,78,16,tea,beverages,Sports Drink. tea aisle. beverages department.,https://picsum.photos/seed/prod45_real/300/300
46,Mineral Water,104,33,juice nectars,beverages,Mineral Water. juice nectars aisle. beverages department.,https://picsum.photos/seed/prod46_real/300/300
47,Rice,136,42,spices seasonings,pantry,Rice. spices seasonings aisle. pantry department.,https://picsum.photos/seed/prod47_real/300/300
48,Cola,81,28,juice nectars,beverages,Cola. juice nectars aisle. beverages department.,https://picsum.photos/seed/prod48_real/300/300
49,Sugar,193,40,marinades meat preparation,pantry,Sugar. marinades meat preparation aisle. pantry department.,https://picsum.photos/seed/prod49_real/300/300
50,Cheddar Cheese,128,16,yogurt,dairy eggs,Cheddar Cheese. yogurt aisle. dairy eggs department.,https://picsum.photos/seed/prod50_real/300/300
51,Fish Sticks,18,50,frozen pizza,frozen,Fish Sticks. frozen pizza aisle. frozen department.,https://picsum.photos/seed/prod51_real/300/300
52,Ice Cream,61,15,frozen pizza,frozen,Ice Cream. frozen pizza aisle. frozen department.,https://picsum.photos/seed/prod52_real/300/300
53,Green Tea,154,47,juice nectars,beverages,Green Tea. juice nectars aisle. beverages department.,https://picsum.photos/seed/prod53_real/300/300
54,Iced Coffee,105,26,tea,beverages,Iced Coffee. tea aisle. beverages department.,https://picsum.photos/seed/prod54_real/300/300
55,Iced Coffee,93,4,tea,beverages,Iced Coffee. tea aisle. beverages department.,https://picsum.photos/seed/prod55_real/300/300
56,Canned Beans,50,10,spices seasonings,pantry,Canned Beans. spices seasonings aisle. pantry department.,https://picsum.photos/seed/prod56_real/300/300
57,Almond Milk,28,33,grains rice dried goods,dry goods pasta,Almond Milk. grains rice dried goods aisle. dry goods pasta department.,https://picsum.photos/seed/prod57_real/300/300
58,Flour,40,11,marinades meat preparation,pantry,Flour. marinades meat preparation aisle. pantry department.,https://picsum.photos/seed/prod58_real/300/300
59,Flour,43,29,spices seasonings,pantry,Flour. spices seasonings aisle. pantry department.,https://picsum.photos/seed/prod59_real/300/300
60,Chocolate Bar,67,41,cookies cakes,snacks,Chocolate Bar. cookies cakes aisle. snacks department.,https://picsum.photos/seed/prod60_real/300/300
61,Sports Drink,13,19,juice nectars,beverages,Sports Drink. juice nectars aisle. beverages department.,https://picsum.photos/seed/prod61_real/300/300
62,Cheddar Cheese,131,37,yogurt,dairy eggs,Cheddar Cheese. yogurt aisle. dairy eggs department.,https://picsum.photos/seed/prod62_real/300/300
63,Pasta,105,48,marinades meat preparation,pantry,Pasta. marinades meat preparation aisle. pantry department.,https://picsum.photos/seed/prod63_real/300/300
64,Tomato Sauce,78,44,spices seasonings,pantry,Tomato Sauce. spices seasonings aisle. pantry department.,https://picsum.photos/seed/prod64_real/300/300
65,Granola Bar,29,49,cookies cakes,snacks,Granola Bar. cookies cakes aisle. snacks department.,https://picsum.photos/seed/prod65_real/300/300
66,Pasta,70,24,spices seasonings,pantry,Pasta. spices seasonings aisle. pantry department.,https://picsum.photos/seed/prod66_real/300/300
67,Vegan Snack,95,2,grains rice dried goods,dry goods pasta,Vegan Snack. grains rice dried goods aisle. dry goods pasta department.,https://picsum.photos/seed/prod67_real/300/300
68,Vegan Snack,167,5,grains rice dried goods,dry goods pasta,Vegan Snack. grains rice dried goods aisle. dry goods pasta department.,https://picsum.photos/seed/prod68_real/300/300
69,Iced Coffee,196,48,juice nectars,beverages,Iced Coffee. juice nectars aisle. beverages department.,https://picsum.photos/seed/prod69_real/300/300
70,Herbal Tea,26,18,tea,beverages,Herbal Tea. tea aisle. beverages department.,https://picsum.photos/seed/prod70_real/300/300
71,Frozen Pizza,91,11,frozen meals,frozen,Frozen Pizza. frozen meals aisle. frozen department.,https://picsum.photos/seed/prod71_real/300/300
72,Popcorn,83,48,cookies cakes,snacks,Popcorn. cookies cakes aisle. snacks department.,https://picsum.photos/seed/prod72_real/300/300
73,Rice,99,6,marinades meat preparation,pantry,Rice. marinades meat preparation aisle. pantry department.,https://picsum.photos/seed/prod73_real/300/300
74,Almond Milk,137,12,grains rice dried goods,dry goods pasta,Almond Milk. grains rice dried goods aisle. dry goods pasta department.,https://picsum.photos/seed/prod74_real/300/300
75,Frozen Vegetables,158,49,frozen meals,frozen,Frozen Vegetables. frozen meals aisle. frozen department.,https://picsum.photos/seed/prod75_real/300/300
76,Deodorant,62,24,cold flu allergy,personal care,Deodorant. cold flu allergy aisle. personal care department.,https://picsum.photos/seed/prod76_real/300/300
77,Pasta,120,10,spices seasonings,pantry,Pasta. spices seasonings aisle. pantry department.,https://picsum.photos/seed/prod77_real/300/300
78,Mineral Water,38,23,tea,beverages,Mineral Water. tea aisle. beverages department.,https://picsum.photos/seed/prod78_real/300/300
79,Almond Milk,151,40,grains rice dried goods,dry goods pasta,Almond Milk. grains rice dried goods aisle. dry goods pasta department.,https://picsum.photos/seed/prod79_real/300/300
80,Yogurt,71,23,yogurt,dairy eggs,Yogurt. yogurt aisle. dairy eggs department.,https://picsum.photos/seed/prod80_real/300/300
81,Body Lotion,59,13,cold flu allergy,personal care,Body Lotion. cold flu allergy aisle. personal care department.,https://picsum.photos/seed/prod81_real/300/300
82,Sour Cream,92,43,yogurt,dairy eggs,Sour Cream. yogurt aisle. dairy eggs department.,https://picsum.photos/seed/prod82_real/300/300
83,Canned Beans,104,7,spices seasonings,pantry,Canned Beans. spices seasonings aisle. pantry department.,https://picsum.photos/seed/prod83_real/300/300
84,Frozen Pizza,40,17,frozen pizza,frozen,Frozen Pizza. frozen pizza aisle. frozen department.,https://picsum.photos/seed/prod84_real/300/300
85,Potato Chips,179,43,cookies cakes,snacks,Potato Chips. cookies cakes aisle. snacks department.,https://picsum.photos/seed/prod85_real/300/300
86,Popcorn,87,9,cookies cakes,snacks,Popcorn. cookies cakes aisle. snacks department.,https://picsum.photos/seed/prod86_real/300/300
87,Sports Drink,43,27,juice nectars,beverages,Sports Drink. juice nectars aisle. beverages department.,https://picsum.photos/seed/prod87_real/300/300
88,Canned Beans,22,19,spices seasonings,pantry,Canned Beans. spices seasonings aisle. pantry department.,https://picsum.photos/seed/prod88_real/300/300
89,Canned Beans,145,21,marinades meat preparation,pantry,Canned Beans. marinades meat preparation aisle. pantry department.,https://picsum.photos/seed/prod89_real/300/300
90,Shampoo,49,11,cold flu allergy,personal care,Shampoo. cold flu allergy aisle. personal care department.,https://picsum.photos/seed/prod90_real/300/300
91,Herbal Tea,123,18,tea,beverages,Herbal Tea. tea aisle. beverages department.,https://picsum.photos/seed/prod91_real/300/300
92,Cola,147,43,juice nectars,beverages,Cola. juice nectars aisle. beverages department.,https://picsum.photos/seed/prod92_real/300/300
93,Green Tea,82,16,juice nectars,beverages,Green Tea. juice nectars aisle. beverages department.,https://picsum.photos/seed/prod93_real/300/300
94,Frozen Vegetables,126,4,frozen pizza,frozen,Frozen Vegetables. frozen pizza aisle. frozen department.,https://picsum.photos/seed/prod94_real/300/300
95,Mineral Water,173,22,tea,beverages,Mineral Water. tea aisle. beverages department.,https://picsum.photos/seed/prod95_real/300/300
96,Milk,166,12,yogurt,dairy eggs,Milk. yogurt aisle. dairy eggs department.,https://picsum.photos/seed/prod96_real/300/300
97,Herbal Tea,79,23,tea,beverages,Herbal Tea. tea aisle. beverages department.,https://picsum.photos/seed/prod97_real/300/300
98,Fish Sticks,58,29,frozen meals,frozen,Fish Sticks. frozen meals aisle. frozen department.,https://picsum.photos/seed/prod98_real/300/300
99,Tomato Sauce,190,17,spices seasonings,pantry,Tomato Sauce. spices seasonings aisle. pantry department.,https://picsum.photos/seed/prod99_real/300/300
100,Pretzels,42,27,cookies cakes,snacks,Pretzels. cookies cakes aisle. snacks department.,https://picsum.photos/seed/prod100_real/300/300
101,Frozen Berries,131,41,frozen meals,frozen,Frozen Berries. frozen meals aisle. frozen department.,https://picsum.photos/seed/prod101_real/300/300
102,Milk,138,31,yogurt,dairy eggs,Milk. yogurt aisle. dairy eggs department.,https://picsum.photos/seed/prod102_real/300/300
103,Cheddar Cheese,103,21,yogurt,dairy eggs,Cheddar Cheese. yogurt aisle. dairy eggs department.,https://picsum.photos/seed/prod103_real/300/300
104,Olive Oil,191,10,spices seasonings,pantry,Olive Oil. spices seasonings aisle. pantry department.,https://picsum.photos/seed/prod104_real/300/300
105,Olive Oil,111,20,spices seasonings,pantry,Olive Oil. spices seasonings aisle. pantry department.,https://picsum.photos/seed/prod105_real/300/300
106,Frozen Pizza,62,49,frozen meals,frozen,Frozen Pizza. frozen meals aisle. frozen department.,https://picsum.photos/seed/prod106_real/300/300
107,Milk,27,45,yogurt,dairy eggs,Milk. yogurt aisle. dairy eggs department.,https://picsum.photos/seed/prod107_real/300/300
108,Frozen Fries,160,50,frozen pizza,frozen,Frozen Fries. frozen pizza aisle. frozen department.,https://picsum.photos/seed/prod108_real/300/300
109,Hair Oil,176,40,cold flu allergy,personal care,Hair Oil. cold flu allergy aisle. personal care department.,https://picsum.photos/seed/prod109_real/300/300
110,Mineral Water,19,21,tea,beverages,Mineral Water. tea aisle. beverages department.,https://picsum.photos/seed/prod110_real/300/300
111,Ice Cream,102,34,frozen meals,frozen,Ice Cream. frozen meals aisle. frozen department.,https://picsum.photos/seed/prod111_real/300/300
112,Pasta,106,1,marinades meat preparation,pantry,Pasta. marinades meat preparation aisle. pantry department.,https://picsum.photos/seed/prod112_real/300/300
113,Almond Milk,174,28,grains rice dried goods,dry goods pasta,Almond Milk. grains rice dried goods aisle. dry goods pasta department.,https://picsum.photos/seed/prod113_real/300/300
114,Gluten-Free Bread,6,7,grains rice dried goods,dry goods pasta,Gluten-Free Bread. grains rice dried goods aisle. dry goods pasta department.,https://picsum.photos/seed/prod114_real/300/300
115,Green Tea,146,4,tea,beverages,Green Tea. tea aisle. beverages department.,https://picsum.photos/seed/prod115_real/300/300
116,Yogurt,14,47,yogurt,dairy eggs,Yogurt. yogurt aisle. dairy eggs department.,https://picsum.photos/seed/prod116_real/300/300
117,Sugar,106,20,spices seasonings,pantry,Sugar. spices seasonings aisle. pantry department.,https://picsum.photos/seed/prod117_real/300/300
118,Orange Juice,31,19,juice nectars,beverages,Orange Juice. juice nectars aisle. beverages department.,https://picsum.photos/seed/prod118_real/300/300
119,Toothpaste,117,47,cold flu allergy,personal care,Toothpaste. cold flu allergy aisle. personal care department.,https://picsum.photos/seed/prod119_real/300/300
120,Popcorn,94,45,cookies cakes,snacks,Popcorn. cookies cakes aisle. snacks department.,https://picsum.photos/seed/prod120_real/300/300
121,Hair Oil,198,38,cold flu allergy,personal care,Hair Oil. cold flu allergy aisle. personal care department.,https://picsum.photos/seed/prod121_real/300/300
122,Frozen Pizza,12,35,frozen pizza,frozen,Frozen Pizza. frozen pizza aisle. frozen department.,https://picsum.photos/seed/prod122_real/300/300
123,Almond Milk,2,47,grains rice dried goods,dry goods pasta,Almond Milk. grains rice dried goods aisle. dry goods pasta department.,https://picsum.photos/seed/prod123_real/300/300
124,Popcorn,75,42,cookies cakes,snacks,Popcorn. cookies cakes aisle. snacks department.,https://picsum.photos/seed/prod124_real/300/300
125,Tomato Sauce,90,42,marinades meat preparation,pantry,Tomato Sauce. marinades meat preparation aisle. pantry department.,https://picsum.photos/seed/prod125_real/300/300
126,Herbal Tea,62,48,juice nectars,beverages,Herbal Tea. juice nectars aisle. beverages department.,https://picsum.photos/seed/prod126_real/300/300
127,Ice Cream,190,31,frozen meals,frozen,Ice Cream. frozen meals aisle. frozen department.,https://picsum.photos/seed/prod127_real/300/300
128,Orange Juice,80,40,juice nectars,beverages,Orange Juice. juice nectars aisle. beverages department.,https://picsum.photos/seed/prod128_real/300/300
129,Pasta,54,10,marinades meat preparation,pantry,Pasta. marinades meat preparation aisle. pantry department.,https://picsum.photos/seed/prod129_real/300/300
130,Potato Chips,64,28,cookies cakes,snacks,Potato Chips. cookies cakes aisle. snacks department.,https://picsum.photos/seed/prod130_real/300/300
131,Toothpaste,161,21,cold flu allergy,personal care,Toothpaste. cold flu allergy aisle. personal care department.,https://picsum.photos/seed/prod131_real/300/300
132,Milk,53,18,yogurt,dairy eggs,Milk. yogurt aisle. dairy eggs department.,https://picsum.photos/seed/prod132_real/300/300
133,Hand Soap,80,2,cold flu allergy,personal care,Hand Soap. cold flu allergy aisle. personal care department.,https://picsum.photos/seed/prod133_real/300/300
134,Granola Bar,108,34,cookies cakes,snacks,Granola Bar. cookies cakes aisle. snacks department.,https://picsum.photos/seed/prod134_real/300/300
135,Pasta,134,25,spices seasonings,pantry,Pasta. spices seasonings aisle. pantry department.,https://picsum.photos/seed/prod135_real/300/300
136,Cola,25,28,juice nectars,beverages,Cola. juice nectars aisle. beverages department.,https://picsum.photos/seed/prod136_real/300/300
137,Frozen Berries,71,40,frozen pizza,frozen,Frozen Berries. frozen pizza aisle. frozen department.,https://picsum.photos/seed/prod137_real/300/300
138,Fish Sticks,41,19,frozen meals,frozen,Fish Sticks. frozen meals aisle. frozen department.,https://picsum.photos/seed/prod138_real/300/300
139,Frozen Berries,20,2,frozen meals,frozen,Frozen Berries. frozen meals aisle. frozen department.,https://picsum.photos/seed/prod139_real/300/300
140,Granola Bar,9,19,cookies cakes,snacks,Granola Bar. cookies cakes aisle. snacks department.,https://picsum.photos/seed/prod140_real/300/300
141,Organic Juice,62,48,grains rice dried goods,dry goods pasta,Organic Juice. grains rice dried goods aisle. dry goods pasta department.,https://picsum.photos/seed/prod141_real/300/300
142,Sugar,134,5,marinades meat preparation,pantry,Sugar. marinades meat preparation aisle. pantry department.,https://picsum.photos/seed/prod142_real/300/300
143,Pasta,187,32,marinades meat preparation,pantry,Pasta. marinades meat preparation aisle. pantry department.,https://picsum.photos/seed/prod143_real/300/300
144,Tomato Sauce,172,7,marinades meat preparation,pantry,Tomato Sauce. marinades meat preparation aisle. pantry department.,https://picsum.photos/seed/prod144_real/300/300
145,Iced Coffee,114,37,juice nectars,beverages,Iced Coffee. juice nectars aisle. beverages department.,https://picsum.photos/seed/prod145_real/300/300
146,Almond Milk,87,6,grains rice dried goods,dry goods pasta,Almond Milk. grains rice dried goods aisle. dry goods pasta department.,https://picsum.photos/seed/prod146_real/300/300
147,Fish Sticks,130,1,frozen pizza,frozen,Fish Sticks. frozen pizza aisle. frozen department.,https://picsum.photos/seed/prod147_real/300/300
148,Mineral Water,42,27,tea,beverages,Mineral Water. tea aisle. beverages department.,https://picsum.photos/seed/prod148_real/300/300
149,Milk,152,6,yogurt,dairy eggs,Milk. yogurt aisle. dairy eggs department.,https://picsum.photos/seed/prod149_real/300/300
150,Cola,18,7,tea,beverages,Cola. tea aisle. beverages department.,https://picsum.photos/seed/prod150_real/300/300
151,Milk,176,8,yogurt,dairy eggs,Milk. yogurt aisle. dairy eggs department.,https://picsum.photos/seed/prod151_real/300/300
152,Pasta,108,50,spices seasonings,pantry,Pasta. spices seasonings aisle. pantry department.,https://picsum.photos/seed/prod152_real/300/300
153,Pasta,142,26,marinades meat preparation,pantry,Pasta. marinades meat preparation aisle. pantry department.,https://picsum.photos/seed/prod153_real/300/300
154,Yogurt,67,15,yogurt,dairy eggs,Yogurt. yogurt aisle. dairy eggs department.,https://picsum.photos/seed/prod154_real/300/300
155,Vegan Snack,118,4,grains rice dried goods,dry goods pasta,Vegan Snack. grains rice dried goods aisle. dry goods pasta department.,https://picsum.photos/seed/prod155_real/300/300
156,Canned Beans,2,4,spices seasonings,pantry,Canned Beans. spices seasonings aisle. pantry department.,https://picsum.photos/seed/prod156_real/300/300
157,Sour Cream,13,48,yogurt,dairy eggs,Sour Cream. yogurt aisle. dairy eggs department.,https://picsum.photos/seed/prod157_real/300/300
158,Body Lotion,187,15,cold flu allergy,personal care,Body Lotion. cold flu allergy aisle. personal care department.,https://picsum.photos/seed/prod158_real/300/300
159,Orange Juice,19,2,tea,beverages,Orange Juice. tea aisle. beverages department.,https://picsum.photos/seed/prod159_real/300/300
160,Deodorant,145,20,cold flu allergy,personal care,Deodorant. cold flu allergy aisle. personal care department.,https://picsum.photos/seed/prod160_real/300/300
161,Herbal Tea,191,24,juice nectars,beverages,Herbal Tea. juice nectars aisle. beverages department.,https://picsum.photos/seed/prod161_real/300/300
162,Tomato Sauce,198,9,marinades meat preparation,pantry,Tomato Sauce. marinades meat preparation aisle. pantry department.,https://picsum.photos/seed/prod162_real/300/300
163,Sugar,187,24,spices seasonings,pantry,Sugar. spices seasonings aisle. pantry department.,https://picsum.photos/seed/prod163_real/300/300
164,Iced Coffee,107,33,tea,beverages,Iced Coffee. tea aisle. beverages department.,https://picsum.photos/seed/prod164_real/300/300
165,Sugar,139,50,spices seasonings,pantry,Sugar. spices seasonings aisle. pantry department.,https://picsum.photos/seed/prod165_real/300/300
166,Trail Mix,42,25,cookies cakes,snacks,Trail Mix. cookies cakes aisle. snacks department.,https://picsum.photos/seed/prod166_real/300/300
167,Canned Beans,115,8,spices seasonings,pantry,Canned Beans. spices seasonings aisle. pantry department.,https://picsum.photos/seed/prod167_real/300/300
168,Cola,114,6,juice nectars,beverages,Cola. juice nectars aisle. beverages department.,https://picsum.photos/seed/prod168_real/300/300
169,Hair Oil,154,40,cold flu allergy,personal care,Hair Oil. cold flu allergy aisle. personal care department.,https://picsum.photos/seed/prod169_real/300/300
170,Orange Juice,116,14,juice nectars,beverages,Orange Juice. juice nectars aisle. beverages department.,https://picsum.photos/seed/prod170_real/300/300
171,Cheddar Cheese,144,11,yogurt,dairy eggs,Cheddar Cheese. yogurt aisle. dairy eggs department.,https://picsum.photos/seed/prod171_real/300/300
172,Orange Juice,181,12,tea,beverages,Orange Juice. tea aisle. beverages department.,https://picsum.photos/seed/prod172_real/300/300
173,Frozen Fries,153,23,frozen meals,frozen,Frozen Fries. frozen meals aisle. frozen department.,https://picsum.photos/seed/prod173_real/300/300
174,Body Lotion,46,29,cold flu allergy,personal care,Body Lotion. cold flu allergy aisle. personal care department.,https://picsum.photos/seed/prod174_real/300/300
175,Eggs,91,43,yogurt,dairy eggs,Eggs. yogurt aisle. dairy eggs department.,https://picsum.photos/seed/prod175_real/300/300
176,Pretzels,23,6,cookies cakes,snacks,Pretzels. cookies cakes aisle. snacks department.,https://picsum.photos/seed/prod176_real/300/300
177,Mineral Water,52,16,tea,beverages,Mineral Water. tea aisle. beverages department.,https://picsum.photos/seed/prod177_real/300/300
178,Green Tea,76,39,juice nectars,beverages,Green Tea. juice nectars aisle. beverages department.,https://picsum.photos/seed/prod178_real/300/300
179,Mineral Water,155,1,tea,beverages,Mineral Water. tea aisle. beverages department.,https://picsum.photos/seed/prod179_real/300/300
180,Vegan Snack,137,31,grains rice dried goods,dry goods pasta,Vegan Snack. grains rice dried goods aisle. dry goods pasta department.,https://picsum.photos/seed/prod180_real/300/300
181,Gluten-Free Bread,4,29,grains rice dried goods,dry goods pasta,Gluten-Free Bread. grains rice dried goods aisle. dry goods pasta department.,https://picsum.photos/seed/prod181_real/300/300
182,Iced Coffee,45,12,juice nectars,beverages,Iced Coffee. juice nectars aisle. beverages department.,https://picsum.photos/seed/prod182_real/300/300
183,Cola,98,45,tea,beverages,Cola. tea aisle. beverages department.,https://picsum.photos/seed/prod183_real/300/300
184,Yogurt,147,45,yogurt,dairy eggs,Yogurt. yogurt aisle. dairy eggs department.,https://picsum.photos/seed/prod184_real/300/300
185,Canned Beans,35,4,marinades meat preparation,pantry,Canned Beans. marinades meat preparation aisle. pantry department.,https://picsum.photos/seed/prod185_real/300/300
186,Frozen Pizza,79,45,frozen pizza,frozen,Frozen Pizza. frozen pizza aisle. frozen department.,https://picsum.photos/seed/prod186_real/300/300
187,Butter,10,29,yogurt,dairy eggs,Butter. yogurt aisle. dairy eggs department.,https://picsum.photos/seed/prod187_real/300/300
188,Face Wash,39,18,cold flu allergy,personal care,Face Wash. cold flu allergy aisle. personal care department.,https://picsum.photos/seed/prod188_real/300/300
189,Body Lotion,40,46,cold flu allergy,personal care,Body Lotion. cold flu allergy aisle. personal care department.,https://picsum.photos/seed/prod189_real/300/300
190,Cream Cheese,99,10,yogurt,dairy eggs,Cream Cheese. yogurt aisle. dairy eggs department.,https://picsum.photos/seed/prod190_real/300/300
191,Pretzels,73,29,cookies cakes,snacks,Pretzels. cookies cakes aisle. snacks department.,https://picsum.photos/seed/prod191_real/300/300
192,Potato Chips,68,24,cookies cakes,snacks,Potato Chips. cookies cakes aisle. snacks department.,https://picsum.photos/seed/prod192_real/300/300
193,Sports Drink,62,47,juice nectars,beverages,Sports Drink. juice nectars aisle. beverages department.,https://picsum.photos/seed/prod193_real/300/300
194,Hair Oil,135,35,cold flu allergy,personal care,Hair Oil. cold flu allergy aisle. personal care department.,https://picsum.photos/seed/prod194_real/300/300
195,Hand Soap,85,6,cold flu allergy,personal care,Hand Soap. cold flu allergy aisle. personal care department.,https://picsum.photos/seed/prod195_real/300/300
196,Rice,27,45,spices seasonings,pantry,Rice. spices seasonings aisle. pantry department.,https://picsum.photos/seed/prod196_real/300/300
197,Frozen Vegetables,112,44,frozen pizza,frozen,Frozen Vegetables. frozen pizza aisle. frozen department.,https://picsum.photos/seed/prod197_real/300/300
198,Fish Sticks,55,12,frozen pizza,frozen,Fish Sticks. frozen pizza aisle. frozen department.,https://picsum.photos/seed/prod198_real/300/300
199,Hand Soap,18,9,cold flu allergy,personal care,Hand Soap. cold flu allergy aisle. personal care department.,https://picsum.photos/seed/prod199_real/300/300
200,Frozen Pizza,166,7,frozen pizza,frozen,Frozen Pizza. frozen pizza aisle. frozen department.,https://picsum.photos/seed/prod200_real/300/300
